20 OUI
Vientiane
OUI
Rio_Branco
CZS
Caracas
LRV
Malabo
BSG
Johnston
AWK
Berlin
FDH
Shanghai
NGB
Taipei
TNN
Nassau
MYG
Canary
SPC
Vilnius
PLQ
Maseru
MSU
Mendoza
MDZ
Skopje
OHD
Kiev
MPW
Jerusalem
HFA
Dawson_Creek
YDQ
Kabul
ZAJ
Guayaquil
TPC
Tokyo
OIM
OUI HFA 1 313
HFA LRV 2 497
LRV ZAJ 3 630
ZAJ MDZ 4 807
MDZ TNN 5 869
TNN AWK 6 225
AWK OHD 7 616
OHD NGB 8 431
NGB BSG 9 655
BSG SPC 10 200
SPC MYG 11 255
MYG YDQ 12 293
YDQ MPW 13 437
MPW OIM 14 430
OIM PLQ 15 405
PLQ CZS 16 535
CZS FDH 17 531
FDH TPC 18 501
TPC MSU 19 606
MSU OUI 20 479
OUI YDQ 1 564
YDQ CZS 2 379
CZS AWK 3 623
AWK NGB 4 250
NGB SPC 5 666
SPC HFA 6 268
HFA BSG 7 197
BSG MSU 8 182
MSU PLQ 9 496
PLQ LRV 10 450
LRV ZAJ 11 675
ZAJ MPW 12 146
MPW TPC 13 618
TPC MYG 14 117
MYG TNN 15 765
TNN FDH 16 468
FDH OHD 17 58
OHD MDZ 18 645
MDZ OIM 19 919
OIM OUI 20 194
OUI BSG 1 460
BSG FDH 2 233
FDH OIM 3 465
OIM SPC 4 637
SPC ZAJ 5 402
ZAJ MSU 6 390
MSU TNN 7 595
TNN HFA 8 414
HFA PLQ 9 128
PLQ AWK 10 516
AWK YDQ 11 331
YDQ CZS 12 388
CZS MYG 13 164
MYG MDZ 14 336
MDZ MPW 15 661
MPW TPC 16 574
TPC NGB 17 866
NGB LRV 18 798
LRV OHD 19 488
OHD OUI 20 361
OUI MDZ 1 916
MDZ LRV 2 259
LRV NGB 3 803
NGB CZS 4 866
CZS BSG 5 422
BSG YDQ 6 620
YDQ AWK 7 324
AWK TNN 8 217
TNN TPC 9 811
TPC MSU 10 617
MSU ZAJ 11 414
ZAJ PLQ 12 199
PLQ OIM 13 397
OIM MPW 14 437
MPW OHD 15 76
OHD MYG 16 421
MYG FDH 17 393
FDH HFA 18 142
HFA SPC 19 250
SPC OUI 20 548
OUI HFA 1 349
HFA AWK 2 591
AWK CZS 3 679
CZS YDQ 4 436
YDQ TPC 5 387
TPC TNN 6 894
TNN MSU 7 626
MSU MYG 8 646
MYG LRV 9 63
LRV FDH 10 429
FDH ZAJ 11 261
ZAJ BSG 12 345
BSG SPC 13 221
SPC MPW 14 269
MPW NGB 15 330
NGB OIM 16 82
OIM MDZ 17 951
MDZ OHD 18 569
OHD PLQ 19 78
PLQ OUI 20 388
OUI YDQ 1 524
YDQ OIM 2 381
OIM BSG 3 677
BSG SPC 4 204
SPC OHD 5 177
OHD CZS 6 504
CZS MPW 7 644
MPW LRV 8 533
LRV PLQ 9 437
PLQ ZAJ 10 212
ZAJ HFA 11 127
HFA FDH 12 125
FDH TNN 13 457
TNN TPC 14 826
TPC AWK 15 593
AWK MSU 16 825
MSU NGB 17 610
NGB MDZ 18 950
MDZ MYG 19 298
MYG OUI 20 729
OUI BSG 1 465
BSG MYG 2 469
MYG LRV 3 69
LRV MPW 4 506
MPW NGB 5 355
NGB TPC 6 775
TPC SPC 7 357
SPC ZAJ 8 401
ZAJ MSU 9 418
MSU OHD 10 373
OHD TNN 11 450
TNN AWK 12 236
AWK PLQ 13 571
PLQ MDZ 14 658
MDZ HFA 15 716
HFA FDH 16 131
FDH CZS 17 513
CZS YDQ 18 387
YDQ OIM 19 346
OIM OUI 20 195
OUI MSU 1 451
MSU ZAJ 2 387
ZAJ LRV 3 670
LRV NGB 4 697
NGB PLQ 5 368
PLQ HFA 6 140
HFA CZS 7 574
CZS YDQ 8 393
YDQ TPC 9 354
TPC OIM 10 754
OIM MPW 11 364
MPW SPC 12 236
SPC MYG 13 293
MYG FDH 14 352
FDH AWK 15 665
AWK TNN 16 226
TNN BSG 17 584
BSG OHD 18 244
OHD MDZ 19 670
MDZ OUI 20 942
OUI TPC 1 817
TPC YDQ 2 343
YDQ MPW 3 383
MPW LRV 4 507
LRV PLQ 5 419
PLQ ZAJ 6 192
ZAJ NGB 7 280
NGB OHD 8 454
OHD MDZ 9 616
MDZ CZS 10 129
CZS HFA 11 631
HFA FDH 12 144
FDH MSU 13 446
MSU SPC 14 420
SPC BSG 15 210
BSG AWK 16 849
AWK OIM 17 173
OIM TNN 18 124
TNN MYG 19 686
MYG OUI 20 717
OUI HFA 1 295
HFA AWK 2 657
AWK OIM 3 144
OIM TNN 4 103
TNN NGB 5 37
NGB MDZ 6 972
MDZ MSU 7 471
MSU BSG 8 210
BSG MYG 9 488
MYG ZAJ 10 637
ZAJ LRV 11 635
LRV FDH 12 438
FDH OHD 13 57
OHD YDQ 14 472
YDQ SPC 15 408
SPC CZS 16 347
CZS TPC 17 47
TPC PLQ 18 534
PLQ MPW 19 75
MPW OUI 20 306
OUI TNN 1 97
TNN FDH 2 434
FDH SPC 3 143
SPC TPC 4 367
TPC MPW 5 580
MPW HFA 6 85
HFA NGB 7 360
NGB PLQ 8 411
PLQ BSG 9 316
BSG OIM 10 681
OIM AWK 11 166
AWK YDQ 12 347
YDQ OHD 13 438
OHD MDZ 14 564
MDZ ZAJ 15 836
ZAJ CZS 16 755
CZS MYG 17 156
MYG MSU 18 557
MSU LRV 19 523
LRV OUI 20 769
OUI MYG 1 795
MYG NGB 2 725
NGB PLQ 3 420
PLQ MSU 4 499
MSU MDZ 5 478
MDZ TPC 6 179
TPC SPC 7 349
SPC MPW 8 267
MPW OHD 9 75
OHD OIM 10 468
OIM HFA 11 488
HFA CZS 12 630
CZS AWK 13 724
AWK ZAJ 14 559
ZAJ FDH 15 235
